epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.73452,3.53849,5.76532,4.25897,0,0,0,0,0,3.54219,5.34129,4.15878,4.76e-06,4.76e-06,4.76e-06
2,3.11498,3.46484,5.73479,4.27056,0,0,0,0,0,3.54214,5.33899,4.15877,1.06923e-05,1.06923e-05,1.06923e-05
3,4.79895,3.61029,5.69523,4.24645,0,0,0,0,0,3.54245,5.33976,4.15913,1.6605e-05,1.6605e-05,1.6605e-05
4,6.4999,3.42681,5.67513,4.24827,0,0,0,0,0,3.54223,5.34002,4.15913,2.24981e-05,2.24981e-05,2.24981e-05
5,8.12713,3.51992,5.73459,4.26133,0,0,0,0,0,3.54162,5.33917,4.15909,2.83715e-05,2.83715e-05,2.83715e-05
6,9.60968,3.50703,5.71171,4.25386,0,0,0,0,0,3.54159,5.33864,4.15895,3.42253e-05,3.42253e-05,3.42253e-05
7,11.2689,3.59484,5.68852,4.2473,0,0,0,0,0,3.54112,5.33854,4.1587,4.00594e-05,4.00594e-05,4.00594e-05
8,12.9513,3.50497,5.70386,4.26296,0,0,0,0,0,3.54119,5.33767,4.15866,4.5874e-05,4.5874e-05,4.5874e-05
9,15.1863,3.536,5.65279,4.24667,0,0,0,0,0,3.54156,5.33641,4.15838,5.16688e-05,5.16688e-05,5.16688e-05
10,16.8294,3.592,5.68747,4.22132,0,0,0,0,0,3.54168,5.33676,4.15807,5.74441e-05,5.74441e-05,5.74441e-05
11,18.4677,3.57107,5.69275,4.23016,0,0,0,0,0,3.54099,5.33657,4.15823,6.31997e-05,6.31997e-05,6.31997e-05
12,20.1119,3.53925,5.68604,4.21424,0,0,0,0,0,3.54123,5.33486,4.15805,6.89357e-05,6.89357e-05,6.89357e-05
13,21.7192,3.61718,5.66091,4.23742,0,0,0,0,0,3.54125,5.33473,4.15805,7.4652e-05,7.4652e-05,7.4652e-05
14,23.1466,3.5701,5.73081,4.204,0,0,0,0,0,3.54133,5.33548,4.15765,8.03487e-05,8.03487e-05,8.03487e-05
15,24.8037,3.55178,5.69704,4.20442,0,0,0,0,0,3.54114,5.3339,4.15739,8.60258e-05,8.60258e-05,8.60258e-05
16,26.7508,3.5479,5.65565,4.19577,0,0,0,0,0,3.54109,5.33413,4.15682,9.16833e-05,9.16833e-05,9.16833e-05
17,28.1581,3.48492,5.66829,4.20011,0,0,0,0,0,3.54174,5.33403,4.15661,9.73211e-05,9.73211e-05,9.73211e-05
18,29.9381,3.54666,5.70823,4.18645,0,0,0,0,0,3.5416,5.33332,4.15633,0.000102939,0.000102939,0.000102939
19,33.3223,3.58645,5.68071,4.16972,0,0,0,0,0,3.54165,5.3339,4.15603,0.000108538,0.000108538,0.000108538
20,34.711,3.56911,5.66782,4.17805,0,0,0,0,0,3.54269,5.33241,4.15578,0.000114117,0.000114117,0.000114117
21,36.1284,3.51822,5.66907,4.16347,0,0,0,0,0,3.54292,5.33233,4.15564,0.000115073,0.000115073,0.000115073
22,39.1479,3.48157,5.64769,4.15432,0,0,0,0,0,3.54197,5.33412,4.1554,0.000114877,0.000114877,0.000114877
23,41.238,3.4661,5.62432,4.16073,0,0,0,0,0,3.54359,5.33229,4.15486,0.00011468,0.00011468,0.00011468
24,42.8791,3.60876,5.63163,4.13956,0,0,0,0,0,3.54459,5.33458,4.15482,0.000114484,0.000114484,0.000114484
25,44.4941,3.50385,5.62696,4.15501,0,0,0,0,0,3.54193,5.33559,4.15408,0.000114288,0.000114288,0.000114288
